                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3661,                 1.0274,                 1.2587,                0.96965,                0.76084,                0.83179,                0.44914,                 1.7203,                 1.4097,                  1.408,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3545,                 1.0247,                 1.3014,                0.98292,                 0.7619,                0.81904,                0.43568,                 1.7115,                 1.3632,                 1.4273,              0.0006932,              0.0006932,              0.0006932
                     36,                  1.285,                 1.0127,                 1.2466,                0.99387,                 0.7381,                 0.8165,                0.45004,                 1.7291,                 1.3445,                 1.4121,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3201,                 1.0359,                 1.2625,                 0.9701,                0.77276,                0.85486,                0.45792,                 1.6734,                 1.3033,                 1.3788,               0.000614,               0.000614,               0.000614
                     38,                 1.2451,                 0.9862,                 1.2446,                0.92464,                0.83333,                0.89107,                0.44792,                 1.6462,                 1.1928,                 1.3979,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3193,                0.94981,                 1.2547,                0.98825,                0.78571,                0.85177,                0.42846,                 1.6274,                   1.32,                 1.3953,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.2295,                0.87768,                 1.1951,                0.96644,                0.78571,                0.80968,                0.44134,                 1.6617,                 1.3801,                 1.4311,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.1602,                  0.907,                 1.1682,                      1,                0.75894,                0.80364,                0.44047,                 1.6649,                 1.3993,                 1.4524,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.1575,                0.90535,                 1.1575,                 0.9845,                 0.7381,                0.87174,                0.45801,                 1.6321,                 1.3572,                 1.4196,               0.000416,               0.000416,               0.000416
                     43,                 1.1271,                0.83584,                 1.1454,                0.94261,                0.78225,                0.88305,                0.47586,                 1.6556,                 1.1881,                 1.4258,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.1634,                0.82094,                 1.1642,                      1,                0.77972,                 0.8569,                0.49495,                 1.6154,                 1.2322,                 1.3823,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0857,                0.83531,                 1.1324,                0.96191,                0.78571,                  0.859,                0.49104,                 1.6159,                 1.1898,                 1.3642,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1342,                0.82721,                 1.2077,                0.97138,                0.80822,                0.86618,                0.47069,                 1.6614,                  1.157,                 1.4076,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0979,                0.81133,                 1.1947,                0.97138,                0.80818,                0.86596,                0.43904,                 1.7492,                 1.2053,                 1.4779,               0.000218,               0.000218,               0.000218
                     48,                 1.0639,                0.78163,                 1.1198,                0.92052,                0.83333,                0.85832,                 0.4359,                 1.7422,                 1.2006,                 1.4778,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0382,                0.74077,                 1.1156,                0.97656,                0.83333,                0.88689,                0.46275,                 1.6769,                 1.1715,                 1.4319,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.0001,                0.71856,                 1.1079,                0.99782,                0.80952,                0.87784,                0.47895,                 1.6332,                 1.1648,                 1.4121,               9.92e-05,               9.92e-05,               9.92e-05
